path,class,width,height,mean_brightness,contrast_std,sharpness_proxy,low_contrast_flag,possible_blur_flag
/content/chest_xray/train/NORMAL/NORMAL2-IM-0815-0001.jpeg,NORMAL,1554,1067,122.60098266601562,68.40020751953125,38.81707000732422,False,True
/content/chest_xray/train/NORMAL/IM-0488-0001.jpeg,NORMAL,1280,909,121.08015441894531,60.00524139404297,43.76837921142578,False,True
/content/chest_xray/train/NORMAL/IM-0185-0001.jpeg,NORMAL,1458,1190,129.64698791503906,65.5238265991211,39.84480285644531,False,True
/content/chest_xray/train/NORMAL/NORMAL2-IM-0395-0001-0002.jpeg,NORMAL,1416,1148,114.33147430419922,63.30874252319336,36.26995849609375,False,True
/content/chest_xray/train/NORMAL/IM-0421-0001.jpeg,NORMAL,1574,1129,107.1729507446289,59.13047409057617,47.89990234375,False,True
/content/chest_xray/train/NORMAL/IM-0618-0001.jpeg,NORMAL,2078,2047,125.26087951660156,64.5188980102539,41.214107513427734,False,True
/content/chest_xray/val/NORMAL/NORMAL2-IM-1437-0001.jpeg,NORMAL,1240,1104,130.4605255126953,64.5589828491211,55.526336669921875,False,False
/content/chest_xray/train/NORMAL/IM-0491-0001-0001.jpeg,NORMAL,1584,1295,129.98306274414062,63.902645111083984,37.86195755004883,False,True
/content/chest_xray/train/NORMAL/NORMAL2-IM-0531-0001.jpeg,NORMAL,1744,1345,96.18757629394531,50.128875732421875,66.74685668945312,False,False
/content/chest_xray/test/NORMAL/IM-0089-0001.jpeg,NORMAL,2426,2076,136.2407684326172,61.799888610839844,16.63338279724121,False,True
/content/chest_xray/train/NORMAL/NORMAL2-IM-0828-0001.jpeg,NORMAL,2553,2305,140.74685668945312,76.24012756347656,115.95541381835938,False,False
/content/chest_xray/test/NORMAL/NORMAL2-IM-0352-0001.jpeg,NORMAL,1638,1323,128.7137908935547,57.17266845703125,27.384838104248047,False,True
/content/chest_xray/train/PNEUMONIA/person311_bacteria_1452.jpeg,PNEUMONIA,1416,920,105.9322509765625,51.56605911254883,28.03290557861328,False,True
/content/chest_xray/train/PNEUMONIA/person1320_bacteria_3347.jpeg,PNEUMONIA,1440,1040,144.4932098388672,53.22675323486328,29.623212814331055,False,True
/content/chest_xray/train/PNEUMONIA/person33_bacteria_169.jpeg,PNEUMONIA,1202,743,107.73522186279297,54.67892837524414,36.11029052734375,False,True
/content/chest_xray/train/PNEUMONIA/person61_bacteria_294.jpeg,PNEUMONIA,1024,632,125.28601837158203,56.47169876098633,56.548065185546875,False,False
/content/chest_xray/train/PNEUMONIA/person954_virus_1626.jpeg,PNEUMONIA,1076,630,117.3890609741211,39.43525695800781,9.807296752929688,False,True
/content/chest_xray/train/PNEUMONIA/person855_virus_1500.jpeg,PNEUMONIA,1432,944,141.26100158691406,60.5611686706543,79.77294921875,False,False
/content/chest_xray/train/PNEUMONIA/person692_virus_1286.jpeg,PNEUMONIA,1240,912,85.12110137939453,52.48288345336914,72.17316436767578,False,False
/content/chest_xray/train/PNEUMONIA/person1429_bacteria_3691.jpeg,PNEUMONIA,1704,1344,162.9598846435547,63.995033264160156,73.60868835449219,False,False
/content/chest_xray/train/PNEUMONIA/person551_virus_1091.jpeg,PNEUMONIA,1344,792,134.4581756591797,68.89632415771484,46.256439208984375,False,True
/content/chest_xray/train/PNEUMONIA/person276_virus_569.jpeg,PNEUMONIA,546,219,71.1429214477539,31.880048751831055,13.358685493469238,False,True
/content/chest_xray/train/PNEUMONIA/person114_virus_217.jpeg,PNEUMONIA,1456,896,126.68037414550781,71.51005554199219,140.47164916992188,False,False
/content/chest_xray/train/PNEUMONIA/person337_bacteria_1565.jpeg,PNEUMONIA,824,688,127.51061248779297,53.882015228271484,61.73633575439453,False,False
